DEPARTAMENTO	SETOR	SECRETARIA	SECRETARIA.1
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE REDENÇÃO	UCR REDENÇÃO	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE REDENÇÃO	UCR REDENÇÃO	SAGO	DAP
COORDENADORIA DE TRANSPORTE - MARITUBA	CTRANS - POLOS	SAGA	DLPI
COORDENADORIA DE ENGENHARIA E ARQUITETURA	DLPI	SAGA	DLPI
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE VITÓRIA DO XINGU	UCR VITÓRIA DO XINGU	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE VITÓRIA DO XINGU	UCR VITÓRIA DO XINGU	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE VITÓRIA DO XINGU	UCR VITÓRIA DO XINGU	SAGO	DAP
COORDENADORIA DE TRANSPORTE - VITÓRIA DO XINGU	CTRANS - POLOS	SAGA	DLPI
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SALINÓPOLIS	UCR SALINÓPOLIS	SAGO	DAP
COORDENADORIA DE TRANSPORTE - VITÓRIA DO XINGU	CTRANS - POLOS	SAGA	DLPI
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SÃO FÉLIX DO XINGU	UCR SÃO FÉLIX DO XINGU	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE VITÓRIA DO XINGU	UCR VITÓRIA DO XINGU	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE VITÓRIA DO XINGU	UCR VITÓRIA DO XINGU	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE TUCURUÍ	UCR TUCURUÍ	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE TUCURUÍ	UCR TUCURUÍ	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE TUCURUÍ	UCR TUCURUÍ	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE TUCURUÍ	UCR TUCURUÍ	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE ITAITUBA	UCR ITAITUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE ITAITUBA	UCR ITAITUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE ITAITUBA	UCR ITAITUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE ITAITUBA	UCR ITAITUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE PARAUAPEBAS	UCR PARAUAPEBAS	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE PARAUAPEBAS	UCR PARAUAPEBAS	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE PARAUAPEBAS	UCR PARAUAPEBAS	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE REDENÇÃO	UCR REDENÇÃO	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE REDENÇÃO	UCR REDENÇÃO	SAGO	DAP
COORDENADORIA DE TRANSPORTE - ANANINDEUA	CTRANS - POLOS	SAGA	DLPI
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
ASSESSORIA DE SEGURANÇA INSTITUCIONAL	ASI	SAGO	ASI
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SALINÓPOLIS	UCR SALINÓPOLIS	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SALINÓPOLIS	UCR SALINÓPOLIS	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE BRAGANÇA	UCR BRAGANÇA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE CAPANEMA	UCR CAPANEMA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE BRAGANÇA	UCR BRAGANÇA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SALINÓPOLIS	UCR SALINÓPOLIS	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTA IZABEL	CCP SANTA IZABEL	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTA IZABEL	CCP SANTA IZABEL	SAGO	DAP
GRUPAMENTO DE BUSCA E RECAPTURA	NBR	SAGO	GBR
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE MARABÁ	UCR MARABÁ	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE MARABÁ	CCP MARABÁ	SAGO	DAP
COORDENADORIA DE TRANSPORTE - MARABÁ	CTRANS - POLOS	SAGA	DLPI
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTA IZABEL	CCP SANTA IZABEL	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTA IZABEL	CCP SANTA IZABEL	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTA IZABEL	CCP SANTA IZABEL	SAGO	DAP
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COORDENADORIA DE TRANSPORTE - COQUEIRO	CTRANS - POLOS	SAGA	DLPI
UNIDADE PENITENCIÁRIA DE SEGURANÇA MÁXIMA I	UPMAX I	SAGO	DAP
UNIDADE PENITENCIÁRIA DE SEGURANÇA MÁXIMA I	UPMAX I	SAGO	DAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE ANANINDEUA	UCR ANANINDEUA	SAGO	DAP
DIRETORIA DE ADMINISTRAÇÃO PENITENCIÁRIA	DAP	SAGO	DAP
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COORDENADORIA DE TRANSPORTE - MARITUBA	CTRANS - POLOS	SAGA	DLPI
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SANTARÉM	UCR SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SANTARÉM	UCR SANTARÉM	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SANTARÉM	UCR SANTARÉM	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO FEMININA DE SANTARÉM	UCRF SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SANTARÉM	UCR SANTARÉM	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SANTARÉM	UCR SANTARÉM	SAGO	DAP
COORDENADORIA DE TRANSPORTE - SANTA IZABEL	CTRANS - POLOS	SAGA	DLPI
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE TUCURUÍ	UCR TUCURUÍ	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE TUCURUÍ	UCR TUCURUÍ	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE TUCURUÍ	UCR TUCURUÍ	SAGO	DAP
COORDENADORIA DE SAÚDE PRISIONAL	DAB	SAGA	DAB
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE MARITUBA III	UCR MARITUBA III	SAGO	DAP
SEGURANÇA DO SECRETÁRIO	GAB	SAGA	GAB
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
GRUPAMENTO DE BUSCA E RECAPTURA	NBR	SAGO	GBR
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
GRUPAMENTO DE BUSCA E RECAPTURA	NBR	SAGO	GBR
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE REDENÇÃO	UCR REDENÇÃO	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE REDENÇÃO	UCR REDENÇÃO	SAGO	DAP
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE MOCAJUBA	UCR MOCAJUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE MOCAJUBA	UCR MOCAJUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE MOCAJUBA	UCR MOCAJUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE CAMETÁ	UCR CAMETÁ	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE CAMETÁ	UCR CAMETÁ	SAGO	DAP
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA - MARABÁ	CIME - INTERIOR	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA - MARABÁ	CIME - INTERIOR	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA - MARABÁ	CIME - INTERIOR	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA - MARABÁ	CIME - INTERIOR	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA - PARAGOMINAS	CIME - INTERIOR	SAGO	CIME
GRUPAMENTO DE BUSCA E RECAPTURA	NBR	SAGO	GBR
GRUPAMENTO DE BUSCA E RECAPTURA	NBR	SAGO	GBR
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
ASSESSORIA DE SEGURANÇA INSTITUCIONAL	ASI	SAGO	ASI
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA - PARAGOMINAS	CIME - INTERIOR	SAGO	CIME
GRUPAMENTO DE BUSCA E RECAPTURA	NBR	SAGO	GBR
GRUPAMENTO DE BUSCA E RECAPTURA	NBR	SAGO	GBR
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
ASSESSORIA DE SEGURANÇA INSTITUCIONAL	ASI	SAGO	ASI
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE CAPANEMA	UCR CAPANEMA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE CAPANEMA	UCR CAPANEMA	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
GRUPAMENTO DE BUSCA E RECAPTURA	NBR	SAGO	GBR
GRUPAMENTO DE BUSCA E RECAPTURA	NBR	SAGO	GBR
GRUPAMENTO DE BUSCA E RECAPTURA	NBR	SAGO	GBR
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
COORDENADORIA DE TRANSPORTE - COQUEIRO	CTRANS - POLOS	SAGA	DLPI
COORDENADORIA DE TRANSPORTE - MARITUBA	CTRANS - POLOS	SAGA	DLPI
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE CASTANHAL	UCR CASTANHAL	SAGO	DAP
UNIDADE PENITENCIÁRIA DE SEGURANÇA MÁXIMA I	UPMAX I	SAGO	DAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE MOSQUEIRO	UCR MOSQUEIRO	SAGO	DAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
UNIDADE PENITENCIÁRIA DE SEGURANÇA MÁXIMA I	UPMAX I	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE TOMÉ-AÇU	UCR TOMÉ-AÇU	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE PARAUAPEBAS	UCR PARAUAPEBAS	SAGO	DAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
ASSESSORIA DE SEGURANÇA INSTITUCIONAL	ASI	SAGO	ASI
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE BRAGANÇA	UCR BRAGANÇA	SAGO	DAP
DIRETORIA DE ADMINISTRAÇÃO PENITENCIÁRIA	DAP	SAGO	DAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
ASSESSORIA DE SEGURANÇA INSTITUCIONAL	ASI	SAGO	ASI
ASSESSORIA DE SEGURANÇA INSTITUCIONAL	ASI	SAGO	ASI
GABINETE DO SECRETÁRIO DE ESTADO DE ADMINISTRAÇÃO PENITENCIÁRIA	GAB	SAGA	GAB
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
COMANDO DE OPERAÇÕES PENITENCIÁRIA	COPE	SAGO	COPE
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE ITAITUBA	UCR ITAITUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE ITAITUBA	UCR ITAITUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE ITAITUBA	UCR ITAITUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE ITAITUBA	UCR ITAITUBA	SAGO	DAP
COORDENADORIA DE TRANSPORTE - SANTA IZABEL	CTRANS - POLOS	SAGA	DLPI
UNIDADE DE REINSERÇÃO DE REGIME SEMIABERTO DE SANTA IZABEL	URRS SANTA IZABEL	SAGO	DAP
UNIDADE DE REINSERÇÃO DE REGIME SEMIABERTO DE SANTA IZABEL	URRS SANTA IZABEL	SAGO	DAP
UNIDADE DE REINSERÇÃO DE REGIME SEMIABERTO DE SANTA IZABEL	URRS SANTA IZABEL	SAGO	DAP
COORDENADORIA DE ENGENHARIA E ARQUITETURA	DLPI	SAGA	DLPI
COORDENADORIA DE ENGENHARIA E ARQUITETURA	DLPI	SAGA	DLPI
COORDENADORIA DE ENGENHARIA E ARQUITETURA	DLPI	SAGA	DLPI
COORDENADORIA DE TRANSPORTE	CTRANS	SAGA	DLPI
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE CAPANEMA	UCR CAPANEMA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE CAPANEMA	UCR CAPANEMA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE CAPANEMA	UCR CAPANEMA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE TUCURUÍ	UCR TUCURUÍ	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE TUCURUÍ	UCR TUCURUÍ	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE TUCURUÍ	UCR TUCURUÍ	SAGO	DAP
GRUPAMENTO DE BUSCA E RECAPTURA	NBR	SAGO	GBR
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA - ALTAMIRA	CIME - INTERIOR	SAGO	CIME
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICA	CIME	SAGO	CIME
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SANTARÉM	UCR SANTARÉM	SAGO	DAP
CENTRAL INTEGRADA DE MONITORAMENTO ELETRÔNICO - SANTARÉM	CIME - INTERIOR	SAGO	CIME
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE SANTARÉM	UCR SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
CENTRAL DE CUSTÓDIA PROVISÓRIA DE SANTARÉM	CCP SANTARÉM	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO FEMININA DE SANTARÉM	UCRF SANTARÉM	SAGO	DAP
COORDENADORIA DE PRODUÇÃO	DTP	SAGA	DTP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE MOCAJUBA	UCR MOCAJUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE MOCAJUBA	UCR MOCAJUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE MOCAJUBA	UCR MOCAJUBA	SAGO	DAP
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE MOCAJUBA	UCR MOCAJUBA	SAGO	DAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
GRUPO DE AÇÕES PENITENCIÁRIAS	GAP	SAGO	GAP
ASSESSORIA DE SEGURANÇA INSTITUCIONAL -  VITÓRIA DO XINGU	ASI - INTERIOR	SAGO	ASI
UNIDADE DE CUSTÓDIA E REINSERÇÃO DE VITÓRIA DO XINGU	UCR VITÓRIA DO XINGU	SAGO	DAP
COORDENADORIA DE TRANSPORTE - VITÓRIA DO XINGU	CTRANS - POLOS	SAGA	DLPI
